"","PLZ99","PLZORT99","area_d","bakery","bar","cafe","clothes"
"786","12587","Berlin (östl. Stadtbezirke)",0.002189019521727,5,0,6,5
"787","12589","Berlin (östl. Stadtbezirke)",0.00265912639950948,1,0,2,1
"788","12619","Berlin (östl. Stadtbezirke)",0.000322566440000408,4,4,1,8
"789","12621","Berlin (östl. Stadtbezirke)",0.00115716530787115,4,0,1,1
"790","12623","Berlin (östl. Stadtbezirke)",0.00173296388359085,6,0,3,3
"792","12627","Berlin (östl. Stadtbezirke)",0.000502466827235364,2,2,3,2
"793","12629","Berlin (östl. Stadtbezirke)",0.000206284931420413,4,0,1,6
"794","12679","Berlin (östl. Stadtbezirke)",0.000294720201356384,3,1,2,7
"795","12681","Berlin (östl. Stadtbezirke)",0.00114316752330005,4,1,7,8
"796","12683","Berlin (östl. Stadtbezirke)",0.0016548715269504,6,0,3,2
"797","12685","Berlin (östl. Stadtbezirke)",0.000492987542030975,3,1,4,1
"798","12687","Berlin (östl. Stadtbezirke)",0.00024894110079544,0,0,1,1
"799","12689","Berlin (östl. Stadtbezirke)",0.000368935014335417,2,3,2,1
"800","13051","Berlin (östl. Stadtbezirke)",0.000763277528386743,2,0,0,0
"801","13053","Berlin (östl. Stadtbezirke)",0.00092816788428901,3,2,5,2
"802","13055","Berlin (östl. Stadtbezirke)",0.000393690928424401,8,0,2,2
"803","13057","Berlin (östl. Stadtbezirke)",0.000655568368876711,0,0,1,0
"804","13059","Berlin (östl. Stadtbezirke)",0.000762244821737994,2,0,1,0
"805","13086","Berlin (östl. Stadtbezirke)",0.000435655945794682,4,2,4,1
"806","13088","Berlin (östl. Stadtbezirke)",0.00101672253362882,2,1,4,3
"807","13089","Berlin (östl. Stadtbezirke)",0.000525760590414564,3,0,0,1
"808","13125","Berlin (östl. Stadtbezirke)",0.0034641699104952,6,0,5,2
"809","13127","Berlin (östl. Stadtbezirke)",0.00161912009076299,3,0,0,1
"810","13129","Berlin (östl. Stadtbezirke)",0.000979773875531993,1,0,2,0
"811","13156","Berlin (östl. Stadtbezirke)",0.000859438422349328,11,0,6,4
"812","13158","Berlin (östl. Stadtbezirke)",0.00086385980339631,4,0,3,1
"813","13159","Berlin (östl. Stadtbezirke)",0.00184662135825846,0,0,1,0
"814","13187","Berlin (östl. Stadtbezirke)",0.000401275748611818,13,2,17,8
"815","13189","Berlin (östl. Stadtbezirke)",0.000321547559063402,5,1,1,0
"816","13347","Berlin-West",0.000212367083849966,11,16,31,5
"817","13349","Berlin-West",0.000214508169696579,1,0,1,0
"818","13351","Berlin-West",0.000407436256682989,4,5,7,2
"819","13353","Berlin-West",0.000354803040595832,16,16,31,8
"820","13355","Berlin-West",0.000262187870943622,10,1,8,4
"821","13357","Berlin-West",0.000257098853795358,16,10,18,4
"822","13359","Berlin-West",0.00023304386342162,11,2,8,1
"823","13403","Berlin-West",0.000494821652652049,3,0,2,0
"824","13405","Berlin-West",0.000950478658797612,5,4,7,7
"825","13407","Berlin-West",0.00058777944154741,5,1,11,5
